Harmonized_SU2C_WES_Tumor_Sample_ID_v2	TMB	TMB_clonal	TMB_subclonal	TMB_indel	Neoantigens	Neoantigens_clonal	Neoantigens_subclonal	Subclone_count	Aging_Signature	Smoking_Signature	APOBEC_Signature
SU2CLC-CLE-NIVO11	1006	217	713	3.0	154	25	116	4	103	159	738
SU2CLC-CLE-NIVO181	149	133	0	5.0	38	35	0	0	50	38	18
SU2CLC-CLE-NIVO191	602	535	15	10.0	125	110	8	1	46	480	49
SU2CLC-CLE-NIVO31	84	44	36	2.0	6	1	5	3	34	25	8
SU2CLC-CLE-NIVO41	172	106	65	0.0	24	14	9	2	82	66	10
SU2CLC-CLE-NIVO51	623	558	47	3.0	137	121	11	1	104	455	26
SU2CLC-CLE-NIVO91	296	283	8	4.0	80	75	4	1	68	222	0
SU2CLC-COL-10011	138	73	60	9.0	32	16	15	1	70	23	13
SU2CLC-COL-10051	47	40	3	0.0	17	15	2	1	26	4	2
SU2CLC-COL-10071	338	297	28	7.0	74	67	6	1	138	183	3
SU2CLC-COL-10121	188	182	0	5.0	41	40	0	0	42	136	0
SU2CLC-COL-10251	906	554	330	19.0	166	108	56	5	253	560	13
SU2CLC-COL-10291	398	343	17	13.0	72	63	4	1	130	96	155
SU2CLC-COL-10311	240	229	0	0.0	38	33	0	0	8	11	197
SU2CLC-COL-10331	175	74	97	4.0	9	3	6	1	43	29	65
SU2CLC-COL-10341	769	357	374	16.0	217	103	105	3	118	416	218
SU2CLC-COL-10351	74	72	0	0.0	14	14	0	0	1	51	1
SU2CLC-COL-10371	257	172	75	4.0	11	8	3	2	91	25	129
SU2CLC-COL-10421	490	470	0	4.0	149	140	0	0	29	262	160
SU2CLC-COL-10451	207	195	0	3.0	25	25	0	0	58	89	29
SU2CLC-DFC-10021	76	66	4	1.0	15	12	2	1	21	11	9
SU2CLC-DFC-10031	172	124	34	0.0	41	25	10	1	35	11	95
SU2CLC-DFC-10041	155	142	9	0.0	51	48	2	1	17	105	19
SU2CLC-DFC-10051	105	24	79	2.0	24	3	20	1	28	16	40
SU2CLC-DFC-10061	144	132	0	0.0	27	23	0	0	51	77	10
SU2CLC-DFC-10071	104	90	11	2.0	22	20	2	1	53	20	8
SU2CLC-DFC-10101	232	128	97	3.0	57	35	21	2	99	40	28
SU2CLC-DFC-10131	134	6	126	2.0	49	3	43	4	40	84	0
SU2CLC-DFC-10141	234	223	6	5.0	49	46	2	1	96	114	3
SU2CLC-DFC-10161	251	222	0	3.0	66	57	0	0	96	125	2
SU2CLC-DFC-10181	126	124	0	2.0	41	40	0	0	26	16	64
SU2CLC-DFC-10201	120	67	49	1.0	26	15	10	1	0	10	102
SU2CLC-DFC-14231	395	364	16	6.0	122	115	2	2	144	215	27
SU2CLC-DFC-14251	149	132	15	3.0	36	33	3	2	38	23	56
SU2CLC-DFC-14271	618	555	46	10.0	121	106	10	2	127	152	329
SU2CLC-DFC-14291	3027	2808	130	53.0	716	668	28	1	11	2843	6
SU2CLC-DFC-14361	178	0	173	41.0	24	0	24	0	51	84	10
SU2CLC-DFC-14371	203	199	0	4.0	26	24	0	0	27	146	1
SU2CLC-DFC-15131	452	284	149	6.0	111	66	38	1	126	68	250
SU2CLC-DFC-15151	681	626	14	22.0	205	189	2	1	67	510	83
SU2CLC-DFC-15161	893	864	6	18.0	211	203	1	1	183	421	248
SU2CLC-DFC-15351	541	463	58	14.0	121	107	12	1	67	409	48
SU2CLC-DFC-15361	428	385	8	0.0	133	124	2	1	46	191	175
SU2CLC-DFC-15391	409	378	15	12.0	82	74	4	1	157	206	40
SU2CLC-DFC-DF00311	194	175	0	2.0	23	23	0	0	48	129	6
SU2CLC-DFC-DF00331	188	141	23	1.0	48	36	5	1	52	97	8
SU2CLC-DFC-DF00471	25	0	25	1.0	6	0	6	0	11	2	0
SU2CLC-DFC-DF00501	232	127	99	5.0	75	39	36	2	84	62	76
SU2CLC-DFC-DF01091	333	323	1	8.0	68	63	1	1	86	205	15
SU2CLC-DFC-DF02401	463	446	0	6.0	178	172	0	0	170	222	65
SU2CLC-DFC-DF02881	197	175	6	6.0	28	25	1	1	70	76	12
SU2CLC-DFC-DF03261	525	425	66	0.0	50	42	5	2	141	156	212
SU2CLC-DFC-DF04141	178	169	7	6.0	52	50	2	2	74	49	41
SU2CLC-DFC-DF04171	256	235	15	3.0	67	59	5	1	62	85	93
SU2CLC-DFC-DF04211	155	34	114	0.0	30	6	23	1	31	15	57
SU2CLC-DFC-DF04381	91	35	55	2.0	15	6	9	3	27	6	26
SU2CLC-DFC-DF04991	123	98	21	3.0	27	17	9	1	69	23	15
SU2CLC-DFC-DF05101	150	143	0	1.0	33	33	0	0	36	28	73
SU2CLC-DFC-DF05311	731	691	14	1.0	79	76	1	1	137	554	22
SU2CLC-DFC-DF05371	183	162	11	3.0	41	38	1	1	61	49	38
SU2CLC-DFC-DF05611	192	183	0	2.0	31	31	0	0	24	159	0
SU2CLC-DFC-DF05821	161	114	44	1.0	25	21	4	2	17	3	123
SU2CLC-DFC-DF05851	167	142	21	1.0	52	46	6	1	32	42	79
SU2CLC-DFC-DF05971	491	390	37	5.0	110	84	9	1	141	330	17
SU2CLC-DFC-DF05981	491	409	33	20.0	128	111	6	3	110	333	17
SU2CLC-DFC-DF05991	323	292	23	4.0	53	46	6	1	161	122	36
SU2CLC-DFC-DF06481	255	246	2	9.0	45	44	0	1	71	59	89
SU2CLC-DFC-DF06591	181	149	29	4.0	24	20	4	2	77	62	8
SU2CLC-DFC-DF06681	2238	2062	81	36.0	212	195	6	1	19	1997	88
SU2CLC-DFC-DF06691	181	122	51	2.0	47	30	14	2	48	25	71
SU2CLC-DFC-DF06911	274	154	107	0.0	57	37	15	3	172	83	19
SU2CLC-DFC-DF07091	672	579	29	3.0	201	178	6	1	1	666	2
SU2CLC-DFC-DF07321	111	109	0	5.0	23	21	0	0	43	30	9
SU2CLC-DFC-DF07681	2837	44	2680	63.0	838	13	784	6	147	2374	254
SU2CLC-DFC-DF07701	207	198	6	7.0	42	40	2	1	29	139	10
SU2CLC-DFC-DF07751	699	625	12	17.0	86	74	1	1	36	578	57
SU2CLC-DFC-DF07771	382	255	113	9.0	43	25	18	3	64	283	20
SU2CLC-DFC-DF07781	296	253	19	4.0	61	52	5	1	120	111	33
SU2CLC-DFC-DF07901	2949	2752	25	29.0	326	299	3	1	111	898	1900
SU2CLC-DFC-DF07961	90	34	47	2.0	28	13	13	3	49	2	10
SU2CLC-DFC-DF08341	196	175	17	3.0	23	19	3	1	57	62	38
SU2CLC-DFC-DF08401	526	428	50	2.0	100	82	11	2	98	379	2
SU2CLC-DFC-DF08811	581	499	30	6.0	104	85	5	1	101	301	163
SU2CLC-DFC-DF08991	525	444	23	9.0	115	93	7	2	135	267	85
SU2CLC-DFC-DF09021	910	706	176	11.0	163	127	29	2	79	708	49
SU2CLC-DFC-DF09081	365	320	30	15.0	80	75	1	1	97	203	21
SU2CLC-DFC-DF09101	175	153	15	6.0	39	34	3	1	52	89	16
SU2CLC-JHU-00011	611	503	87	8.0	203	160	37	2	134	416	52
SU2CLC-JHU-00021	501	383	61	15.0	145	112	13	2	188	258	21
SU2CLC-JHU-00031	215	120	88	4.0	20	10	9	4	94	69	20
SU2CLC-JHU-00041	557	441	96	13.0	95	73	18	2	209	309	8
SU2CLC-JHU-00051	530	486	33	15.0	188	175	11	2	98	290	47
SU2CLC-JHU-00061	567	472	75	6.0	118	103	14	2	110	183	208
SU2CLC-JHU-00071	63	43	16	3.0	5	4	1	1	15	22	2
SU2CLC-JHU-00081	678	578	77	23.0	139	114	20	3	223	345	34
SU2CLC-JHU-00091	126	113	8	8.0	28	27	1	1	58	17	25
SU2CLC-JHU-00101	117	82	29	2.0	42	29	11	2	66	36	2
SU2CLC-JHU-00111	838	429	385	26.0	199	99	94	1	186	70	79
SU2CLC-JHU-00121	311	229	37	10.0	29	23	2	2	91	167	29
SU2CLC-JHU-00131	281	228	45	3.0	75	57	16	3	57	5	175
SU2CLC-JHU-00151	630	556	50	2.0	126	112	11	1	85	485	5
SU2CLC-JHU-00171	402	365	25	15.0	26	22	1	1	114	231	24
SU2CLC-JHU-00181	583	346	217	15.0	155	95	55	2	196	348	33
SU2CLC-JHU-00191	380	147	194	9.0	86	31	47	2	35	91	13
SU2CLC-JHU-00201	306	263	37	5.0	76	65	10	2	141	122	17
SU2CLC-JHU-00211	879	743	106	11.0	202	172	23	1	148	359	205
SU2CLC-JHU-00241	77	61	7	6.0	28	23	3	1	17	14	10
SU2CLC-JHU-00251	438	371	49	10.0	98	87	8	2	102	227	50
SU2CLC-JHU-00261	249	178	67	1.0	76	53	22	3	109	124	10
SU2CLC-JHU-00271	179	142	32	3.0	58	48	10	1	48	82	19
SU2CLC-JHU-00281	311	283	20	9.0	62	55	5	1	135	132	24
SU2CLC-JHU-00291	422	361	52	6.0	97	86	8	1	77	305	8
SU2CLC-JHU-00401	257	208	38	5.0	80	68	10	2	45	136	36
SU2CLC-MDA-15631	145	123	17	3.0	41	36	3	2	28	31	39
SU2CLC-MDA-16301	138	127	8	0.0	31	29	1	1	58	16	15
SU2CLC-MDA-16311	755	696	36	9.0	151	140	8	2	150	418	117
SU2CLC-MGH-10481	2089	1996	40	51.0	493	480	8	2	107	1797	88
SU2CLC-MGH-10501	561	524	20	2.0	137	129	6	1	46	469	37
SU2CLC-MGH-10511	605	526	26	14.0	147	124	8	2	129	387	17
SU2CLC-MGH-10541	1650	1579	13	28.0	310	302	1	1	94	795	741
SU2CLC-MGH-11291	641	571	52	0.0	145	128	9	1	42	349	198
SU2CLC-MGH-11311	2032	1967	5	33.0	209	202	0	1	145	1754	47
SU2CLC-MGH-11341	396	299	68	1.0	109	78	17	1	88	174	65
SU2CLC-MGH-11351	74	60	8	4.0	17	13	2	1	48	8	5
SU2CLC-MGH-11481	599	499	89	11.0	181	150	28	2	179	407	3
SU2CLC-MGH-11491	342	329	0	1.0	95	94	0	0	104	229	8
SU2CLC-MGH-11611	191	139	44	1.0	34	23	9	2	52	40	95
SU2CLC-MGH-11621	364	356	0	4.0	72	69	0	0	157	196	10
SU2CLC-MGH-11641	931	813	77	21.0	201	176	19	2	73	772	27
SU2CLC-MGH-11661	338	301	24	4.0	69	61	5	1	20	258	22
SU2CLC-MGH-11691	1019	972	12	17.0	131	124	0	1	194	620	189
SU2CLC-MGH-13871	261	239	17	6.0	72	68	2	1	110	102	16
SU2CLC-MGH-13891	516	450	10	5.0	125	108	3	1	174	327	14
SU2CLC-MGH-14121	1282	1238	9	25.0	224	218	0	1	94	1009	80
SU2CLC-MGH-14151	672	344	269	2.0	126	61	54	1	45	149	431
SU2CLC-MGH-14161	469	390	65	2.0	78	58	18	1	70	212	182
SU2CLC-MGH-14171	393	285	68	10.0	115	88	16	2	63	294	26
SU2CLC-MGH-14181	257	232	21	6.0	49	43	6	2	34	15	192
SU2CLC-MGH-14881	902	823	0	9.0	284	258	0	0	68	782	12
SU2CLC-MGH-14901	426	288	112	3.0	79	55	19	1	31	365	2
SU2CLC-MGH-14921	323	304	0	1.0	98	92	0	0	87	142	53
SU2CLC-MGH-14981	278	267	0	10.0	77	71	0	0	51	128	50
