Harmonized_SU2C_WES_Tumor_Sample_ID_v2	Total_amps	Total_dels
SU2CLC-UCD-11241	5.0	9.0
SU2CLC-UCD-11451	17.0	20.0
SU2CLC-UCD-11421	14.0	24.0
SU2CLC-COL-10011	2.0	7.0
SU2CLC-MSK-A20011	1.0	6.0
SU2CLC-MSK-A20021	11.0	25.0
SU2CLC-MSK-A20121	12.0	13.0
SU2CLC-MSK-A20131	0.0	9.0
SU2CLC-MSK-A20141	5.0	11.0
SU2CLC-MSK-A20161	15.0	15.0
SU2CLC-MSK-A20171	5.0	18.0
SU2CLC-MSK-A20181	0.0	1.0
SU2CLC-COL-10051	1.0	1.0
SU2CLC-MSK-A20191	28.0	12.0
SU2CLC-MSK-A20201	14.0	16.0
SU2CLC-MSK-A20211	7.0	9.0
SU2CLC-MSK-A20221	22.0	22.0
SU2CLC-MSK-A20231	14.0	17.0
SU2CLC-MSK-A20241	15.0	14.0
SU2CLC-MSK-A20251	7.0	7.0
SU2CLC-MSK-A20281	12.0	14.0
SU2CLC-MSK-A20291	15.0	13.0
SU2CLC-MSK-A20301	6.0	9.0
SU2CLC-MSK-A20311	13.0	9.0
SU2CLC-MSK-A20321	10.0	25.0
SU2CLC-MSK-A20331	5.0	19.0
SU2CLC-MSK-A20341	2.0	15.0
SU2CLC-DFC-DF00311	11.0	2.0
SU2CLC-DFC-DF00331	1.0	3.0
SU2CLC-DFC-DF00471	0.0	0.0
SU2CLC-DFC-DF00501	14.0	18.0
SU2CLC-DFC-14291	20.0	22.0
SU2CLC-DFC-10141	11.0	17.0
SU2CLC-DFC-DF01091	21.0	21.0
SU2CLC-DFC-14361	3.0	1.0
SU2CLC-DFC-DF02401	11.0	11.0
SU2CLC-DFC-14251	15.0	26.0
SU2CLC-DFC-14371	14.0	20.0
SU2CLC-DFC-14271	12.0	24.0
SU2CLC-DFC-14231	10.0	20.0
SU2CLC-DFC-DF02881	8.0	9.0
SU2CLC-DFC-15391	16.0	26.0
SU2CLC-DFC-DF03261	7.0	7.0
SU2CLC-DFC-15131	12.0	9.0
SU2CLC-DFC-DF04141	6.0	22.0
SU2CLC-DFC-DF04171	14.0	11.0
SU2CLC-DFC-DF04211	4.0	8.0
SU2CLC-DFC-DF04381	5.0	19.0
SU2CLC-DFC-15361	4.0	4.0
SU2CLC-DFC-DF04991	10.0	18.0
SU2CLC-DFC-DF05101	0.0	9.0
SU2CLC-DFC-DF05311	1.0	12.0
SU2CLC-DFC-DF05371	21.0	23.0
SU2CLC-DFC-DF05611	8.0	3.0
SU2CLC-DFC-DF05821	5.0	20.0
SU2CLC-DFC-DF05851	12.0	18.0
SU2CLC-DFC-DF05971	15.0	16.0
SU2CLC-DFC-DF05981	10.0	20.0
SU2CLC-DFC-DF05991	20.0	24.0
SU2CLC-DFC-15161	19.0	19.0
SU2CLC-DFC-DF06481	14.0	27.0
SU2CLC-DFC-DF06591	24.0	21.0
SU2CLC-DFC-DF06681	22.0	17.0
SU2CLC-DFC-DF06691	15.0	21.0
SU2CLC-DFC-15351	8.0	15.0
SU2CLC-DFC-DF06911	4.0	25.0
SU2CLC-DFC-15151	14.0	24.0
SU2CLC-DFC-DF07091	4.0	0.0
SU2CLC-DFC-DF07321	12.0	10.0
SU2CLC-DFC-DF07681	4.0	16.0
SU2CLC-DFC-DF07701	17.0	27.0
SU2CLC-DFC-DF07751	24.0	25.0
SU2CLC-DFC-DF07771	14.0	12.0
SU2CLC-DFC-DF07781	19.0	12.0
SU2CLC-DFC-DF07901	14.0	19.0
SU2CLC-DFC-DF07961	8.0	16.0
SU2CLC-DFC-DF08341	15.0	14.0
SU2CLC-DFC-DF08401	6.0	9.0
SU2CLC-DFC-DF08811	17.0	2.0
SU2CLC-DFC-DF08991	16.0	10.0
SU2CLC-DFC-DF09021	5.0	19.0
