Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
Sample100,0.150813803249446,0,0.166065422806601,0.641268419575174,0,0.0511789774715647,0.446200681179931,0.398814398084797,0.0574826628919601,0,0.109722152315548,0.0909152039300614,0.0931886591636315,0.130194298173524,0.183946265664332,0.435154142038047,0.0964127838847347,0,0.0721860615082271,0,0,0,0,0.410198703276122,0.910928540321412,3.12354393193758
Sample102,0.167995359208616,0,0.0763229970284655,0,0,0.179389797789219,0.0294891278087034,0.00724982903314207,0.0090915214435135,0.0199240621622403,0.0554591688484594,0,0.0112692958134954,0.0808918531219784,0.00498715224988814,0.266765502656076,0.0127197673592436,0.0118459860603893,0,0.0507576906987043,0,0,0,0.586174424085335,0.823475764757383,0.984159111282134
Sample105,0.023954925976577,0.0122458773935756,0.00656258113654003,0.0644211983617324,0,0.106846747156436,0.0254618251599858,0.054091706818379,0,0,0.0552346860036821,0,0.0133095967398848,0.00595824786838958,0.0100942773089236,0.0702484230773449,0.0419503177708661,0.0141613809137512,0.0147268968247609,0,0.0229396545180303,0,0,0.330537308167355,0.946424819089328,0.54220834302886
Sample106,0.0195044358743079,0.0670314357896604,0.0295705041919069,0.0552705028886042,0,0.036822365986002,0.0390407427336091,0.0643934567282398,0,0,0.0300799489405929,0,0,0.478190726589898,0.0242597885958305,0.218177485746403,0,0,0.0481908626821178,0,0.021775595405709,0,0,0.487924278243332,0.874874355043666,1.13230785215288
Sample107,0.0126004443381544,0.0591398084179551,0.0212287948051874,0.0167529591460132,0,0.0512791923508411,0.0839317577705068,0.0160115357533177,0.0119834790017004,0,0.0740905355360951,0,0.0129600164714459,0.0056679049855419,0.00718658950119754,0.0608340616289429,0.0373018412509924,0.0126713913386495,0.034205038951772,0.00567467385868954,0.0010852533582704,0.0088070211069218,0,0.263453131330016,0.970764014501478,0.533412299572195
Sample108,0.0201388110403138,0.0108147890140314,0.0139015257588476,0.0198249361894095,0,0.0642709818634928,0.063744907987461,0.0465835575272445,0.0219136470346372,0.00244849859440095,0.0268260814375687,0,0.00784576285790113,0.048596509249489,0.00270919221984953,0.092446854290325,0.00943809616380813,0.0214884813349112,0.039246526554041,0,0.00691083081610152,0.00345960018216275,0,0.306619070137279,0.953386084139768,0.522609590115997
Sample10,0.0935065049062124,0,0.0606229809264327,0.0512396141457071,0,0.230134801090665,0.0591393067199779,0.0304029659518329,0,0,0.037498714518678,0.000319060901073005,0.0344684627296762,0.0728986037295865,0.0162942563808583,0.234755392600707,0.00942406337097213,0.00800997662282969,0.0512957550759978,0.0157021526757852,0,0,0,0.552224977599873,0.847537189558493,1.00571261234699
Sample112,0.100224189833936,0,0.078881127740944,0.110765800259127,0,0.287302741913437,0.041042403048327,0.0608550825552974,0,0,0.0979327165712579,0,0.0331184717717563,0.0398443157233246,0.0376233288727394,0.0923013571485602,0.0549933104144459,0,0.111311850159447,0,0,0,0,0.470050833555099,0.88337285917336,1.1461966960126
Sample116,0.0372414422960738,0.0772055604292687,0.0241445275289501,0.0166223305283753,0.0360509430262274,0.0347633251742729,0.0685871070416347,0.020062340225594,0,0,0.0307217106984579,0,0.0401459896701632,0.0838112134464419,0.030430605365723,0.210396446947385,0.0322267774724838,0,0.114962441465391,0,0,0,0,0.552781419151864,0.84947749526172,0.857372761316442
Sample117,0,0.0433452444940559,0.108796702685164,0.0980325639617162,0,0.0367466563209789,0.0469659672317238,0.0363455930549706,0.023879910162433,0.0221164059680003,0,0.0034759491138017,0,0.0451953828967175,0.0064481150500959,0.579277963005145,0.394968918954447,0.000994553689040975,0.107533590964077,0,0,0.000217414793258346,0,0.463519775426037,0.886754379160035,1.55434093234563
Sample11,0.0382476817218348,0.0054250615249138,0.0165526463962698,0.0570770167268039,0,0.0566594551797751,0.087688878749692,0.0395653141837966,0,0,0.0496594614824519,0,0.0370816798910695,0.11871520132137,0.0247454068419894,0.152075432397593,0.0717623626697341,0,0.0365401633398588,0,0.015912755930814,0,0,0.448756611817751,0.895271168981097,0.807708518357966
Sample121,0.142647944410406,0,0.0617118892283098,0.175641385976432,0,0.243284109939538,0.0364355457666738,0.0743760743309975,0,0,0.0506704336393925,0.0383211450334386,0.0457475893206591,0.0989593996034702,0.0336456742674862,0.189278549685132,0.0335230350228664,0,0.0862433564714183,0,0.0123662474740891,0,0,0.519543349251347,0.860406343884454,1.32285238017031
Sample125,0.226728334348454,0.0610777056225898,0.331983564513572,1.35714358898956,0,0,0.394128635514187,0.467020905237799,0.0957139766997226,0,0.148536674489731,0,0.0863956235911831,0.152162766647161,0.153687447918932,0.365213109418933,0,0,0.108341263607975,0,0.00725390053047763,0,0,0.337416937223955,0.948921380377063,3.95538749713028
Sample126,0.0469568815786314,0.0207491179528258,0.0605938800626516,0.133194988765022,0,0.147006338530754,0.118053616709722,0.0562939945157898,0.00530037054786835,0,0.0518287759494818,0,0.0412091706273576,0.0753115023627308,0.0531298933897983,0.237337680658172,0.0559724298565612,0.0101889633203779,0.0703174323588248,0,0,0,0,0.541469529156545,0.856576736679409,1.18344503718657
Sample127,0,0.0574917387165772,0.0666188929279062,0.0471149323059316,0,0.234674141901878,0,0.0204303599513282,0,0,0.0565969781504999,0.0117151100370605,0.0208341445209428,0.0521724467326619,0,0.121098155268181,0.0140545786115915,0.0267050839320911,0.0190318498166931,0.137318967280727,0,0.00314773996106572,0,0.494096726490723,0.87264581779442,0.889005120115136
Sample130,0.0622020300592652,0.0455005050523061,0.118376063064827,0.183771366700816,0,0.193463882026546,0.0747262314883271,0.0742041061757583,0,0,0.0779524555579795,0,0.0390847648860148,0.132069592072777,0.0315314074156275,0.317955554600031,0,0.052578914943027,0.058168733232715,0,0.0480316379381584,0,0,0.35784154768891,0.933452137176504,1.50961724521418
