Gene_Name	SNORA62|ENSG00000201542.
SNORA62|ENSG00000201542.1_CN	KHDRBS
KHDRBS1_CN	CSMD
CSMD2_CN	GJA
GJA4_CN	GJB
GJB4_CN	HMGCS
HMGCS2_CN	SNORD81|ENSG00000212278.
SNORD81|ENSG00000212278.1_CN	RN7SL58
RN7SL58P_CN	SNORD112|ENSG00000252728.
SNORD112|ENSG00000252728.1_CN	KIAA0319
KIAA0319L_CN	SNORD8
SNORD85_CN	MYO1
MYO10_CN	SFP
SFPQ_CN	snoU13|ENSG00000238674.
snoU13|ENSG00000238674.1_CN	GJB
GJB5_CN	PTP4A
PTP4A2_CN	FTH1P1
FTH1P10_CN	RN7SL136
RN7SL136P_CN	CYL
CYLD_CN	GJB
GJB3_CN	REG
REG4_CN	RN7SKP13
RN7SKP133_CN	
