Gene_Name	feefefe	IL1RL2
IL1RL2_SNP		IGFN1
IGFN1_SNP		PPP6R1
PPP6R1_SNP		ZNF18
ZNF18_SNP		SP140L
SP140L_SNP		SALL3
SALL3_SNP		ZNF799
ZNF799_SNP		OR13C4
OR13C4_SNP		NLRP12
NLRP12_SNP		C6orf201
C6orf201_SNP		HACE1
HACE1_SNP		ST8SIA3
ST8SIA3_SNP		KLHL33
KLHL33_SNP		LINC00283
LINC00283_SNP		ABCC8
ABCC8_SNP		GOLGA3
GOLGA3_SNP		C18orf54
C18orf54_SNP		USH2A
USH2A_SNP		DAB2IP
DAB2IP_SNP		KHSRP
KHSRP_SNP		PKNOX2
PKNOX2_SNP		SELP
SELP_SNP		MMP2
MMP2_SNP		EMILIN2
EMILIN2_SNP		SORCS3
SORCS3_SNP		MAP3K13
MAP3K13_SNP		PCDH12
PCDH12_SNP		PRPF38B
PRPF38B_SNP		CD163
CD163_SNP		GABBR2
GABBR2_SNP		LTBP3
LTBP3_SNP		KYNU
KYNU_SNP		FAM222A
FAM222A_SNP		SLC4A1
SLC4A1_SNP		RANBP17
RANBP17_SNP		FTCD
FTCD_SNP		ZNF25
ZNF25_SNP		OVCH1-AS1
OVCH1-AS1_SNP		PLEKHA7
PLEKHA7_SNP		YIPF7
YIPF7_SNP		ATM
ATM_SNP		RBP3
RBP3_SNP		AKR1D1
AKR1D1_SNP		LRIT3
LRIT3_SNP		CD46
CD46_SNP		HERPUD2
HERPUD2_SNP		NTSR1
NTSR1_SNP		MYRFL
MYRFL_SNP		MDC1
MDC1_SNP		URB2
URB2_SNP		KCNH4
KCNH4_SNP		ATAD2B
ATAD2B_SNP		APOB
APOB_SNP		NOP2
NOP2_SNP		SLIT1
SLIT1_SNP		ISM1
ISM1_SNP		IRX1
IRX1_SNP		OR8D1
OR8D1_SNP		OR2A14
OR2A14_SNP		MARK4
MARK4_SNP		MUC5B
MUC5B_SNP		MACF1
MACF1_SNP		ZNF536
ZNF536_SNP		REG3A
REG3A_SNP		LMF1
LMF1_SNP		EN1
