Gene_Name	PTPN4
PTPN4_SNP	CENPE
CENPE_SNP	AK8
AK8_SNP	CPA1
CPA1_SNP	KIR3DX1
KIR3DX1_SNP	KCNJ6
KCNJ6_SNP	AGBL4
AGBL4_SNP	EIF4G2
EIF4G2_SNP	C19orf57
C19orf57_SNP	SSX3
SSX3_SNP	SIGLECL1
SIGLECL1_SNP	KIAA1217
KIAA1217_SNP	TAF1L
TAF1L_SNP	IQCJ
IQCJ_SNP	SYT8
SYT8_SNP	DNTTIP2
DNTTIP2_SNP	RNF168
RNF168_SNP	TMEM246
TMEM246_SNP	SORBS2
SORBS2_SNP	ARHGAP28
ARHGAP28_SNP	ZFYVE26
ZFYVE26_SNP	IL1RL1
IL1RL1_SNP	C1QC
C1QC_SNP	TMPRSS7
TMPRSS7_SNP	ANKMY1
ANKMY1_SNP	ACOT6
ACOT6_SNP	FAM155A
FAM155A_SNP	SURF4
SURF4_SNP	DRD2
DRD2_SNP	DPPA2
DPPA2_SNP	CYP2C9
CYP2C9_SNP	WSCD1
WSCD1_SNP	CYP2C19
CYP2C19_SNP	NUAK1
NUAK1_SNP	CCDC125
CCDC125_SNP	PRNT
PRNT_SNP	SHPRH
SHPRH_SNP	ACADS
ACADS_SNP	MFRP
MFRP_SNP	MUC19
MUC19_SNP	UNK
UNK_SNP	DCDC1
DCDC1_SNP	TBC1D9
TBC1D9_SNP	FUT5
FUT5_SNP	C14orf159
C14orf159_SNP	PIK3C2G
PIK3C2G_SNP	TBC1D1
TBC1D1_SNP	UBQLN4
UBQLN4_SNP	HEATR5A
HEATR5A_SNP	SLC26A4
SLC26A4_SNP	PROX1
PROX1_SNP	PLIN5
PLIN5_SNP	ATP2B1
ATP2B1_SNP	TBC1D12
TBC1D12_SNP	CD44
CD44_SNP	TFAP2B
TFAP2B_SNP	BCHE
BCHE_SNP	ZNF43
ZNF43_SNP	SVOPL
SVOPL_SNP	PNMA5
PNMA5_SNP	PHF21B
PHF21B_SNP	CRMP1
CRMP1_SNP	VWA5A
VWA5A_SNP	OR4N4
OR4N4_SNP	MTBP
MTBP_SNP	CEACAM5
CEACAM5_SNP	CEACAM21
CEACAM21_SNP	SLC22A8
SLC22A8_SNP	ZDHHC2
ZDHHC2_SNP	HTRA3
HTRA3_SNP	CXorf30
CXorf30_SNP	SMARCD1
SMARCD1_SNP	C1orf65
C1orf65_SNP	RNF126
RNF126_SNP	SH2D3A
SH2D3A_SNP	TNFSF14
TNFSF14_SNP	ATG2B
ATG2B_SNP	GPBP1
GPBP1_SNP	PPL
PPL_SNP	MARK1
MARK1_SNP	GLTSCR1
GLTSCR1_SNP	KRTAP9-1
KRTAP9-1_SNP	DOCK1
DOCK1_SNP	ATF6B
ATF6B_SNP	ZNF827
ZNF827_SNP	OR10D3
OR10D3_SNP	HSD3B7
HSD3B7_SNP	SPOCK2
SPOCK2_SNP	RAPGEF2
RAPGEF2_SNP	TNNI3K
TNNI3K_SNP	PAH
PAH_SNP	JAK2
JAK2_SNP	CTTNBP2NL
CTTNBP2NL_SNP	COL21A1
COL21A1_SNP	LAMA4
LAMA4_SNP	XIRP2
XIRP2_SNP	FOLR4
FOLR4_SNP	MAFK
MAFK_SNP	USP11
USP11_SNP	LY6G6D
LY6G6D_SNP	PNMA2
PNMA2_SNP	NME8
NME8_SNP	SLC12A3
SLC12A3_SNP	RILPL1
RILPL1_SNP	CHRNB3
CHRNB3_SNP	MIER2
MIER2_SNP	COL4A1
COL4A1_SNP	RNASE11
RNASE11_SNP	SLC24A4
SLC24A4_SNP	FCGRT
FCGRT_SNP	SYT14
SYT14_SNP	SLC12A2
SLC12A2_SNP	ITGB8
ITGB8_SNP	OR51B6
OR51B6_SNP	NKAIN3
NKAIN3_SNP	ATAD3C
ATAD3C_SNP	CCDC178
CCDC178_SNP	RP11-766F14.2
RP11-766F14.2_SNP	SLC2A13
SLC2A13_SNP	GLI3
GLI3_SNP	ITGAE
ITGAE_SNP	ZNF99
ZNF99_SNP	FNIP2
FNIP2_SNP	FLYWCH2
FLYWCH2_SNP	ALB
ALB_SNP	NCKIPSD
NCKIPSD_SNP	BFSP1
BFSP1_SNP	TBC1D26
TBC1D26_SNP	FABP4
FABP4_SNP	PRKAA2
PRKAA2_SNP	CRIM1
CRIM1_SNP	PAX1
PAX1_SNP	ROCK1
ROCK1_SNP	FBXW7
FBXW7_SNP	NOD1
NOD1_SNP	ZNF70
ZNF70_SNP	ZNF510
ZNF510_SNP	SEMA4C
SEMA4C_SNP	ARSF
ARSF_SNP	KRIT1
KRIT1_SNP	CHST8
CHST8_SNP	FAM9C
FAM9C_SNP	BARHL2
BARHL2_SNP	DFNB31
DFNB31_SNP	SRCRB4D
SRCRB4D_SNP	ANO5
ANO5_SNP	NLRX1
NLRX1_SNP	STAU2
STAU2_SNP	ZNF563
ZNF563_SNP	GPR98
GPR98_SNP	SCN1A
