Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-428359,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,5,13,8.41E-04,2.50E-04,0.316015918,2,3,2.04E-04,9606,Homo sapiens,CD44,,R-HSA-428287;R-HSA-428296
R-HSA-3214858,RMTs methylate histone arginines,7,52,0.003362649,0.006937778,0.63392559,18,22,0.001494261,9606,Homo sapiens,PRMT6;SMARCD1;HIST1H2AJ;HIST1H4I;JAK2;HIST1H3C;HIST1H2AB,,R-HSA-5205867;R-HSA-5216234;R-HSA-5218952;R-HSA-5205799;R-HSA-5212679;R-HSA-3215448;R-HSA-5205798;R-HSA-5205861;R-HSA-5661117;R-HSA-5225602;R-HSA-3215391;R-HSA-5205824;R-HSA-5661126;R-HSA-5205822;R-HSA-5205820;R-HSA-5229203;R-HSA-5229010;R-HSA-5225649
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,17,211,0.013644594,0.008885883,0.63392559,25,47,0.003192284,9606,Homo sapiens,POMC;STAT1;MMP2;CD36;JAK2;IL2RG;JUNB;MMP9;BCL2L1,,R-HSA-6788582;R-HSA-6793958;R-HSA-6789615;R-HSA-6786095;R-HSA-6786092;R-HSA-6785898;R-HSA-6786101;R-HSA-6786096;R-HSA-6786110;R-HSA-6786050;R-HSA-6786114;R-HSA-6788623;R-HSA-6788622;R-HSA-6786124;R-HSA-6786058;R-HSA-6790025;R-HSA-6786070;R-HSA-451895;R-HSA-6788628;R-HSA-6790036;R-HSA-6797267;R-HSA-6785821;R-HSA-6788571;R-HSA-6790041;R-HSA-6786072
R-HSA-9014843,Interleukin-33 signaling,2,4,2.59E-04,0.012520219,0.63392559,2,2,1.36E-04,9606,Homo sapiens,IL1RL1,,R-HSA-448629;R-HSA-448603
R-HSA-1839120,Signaling by FGFR1 amplification mutants,2,5,3.23E-04,0.019034629,0.63392559,5,5,3.40E-04,9606,Homo sapiens,FLG,,R-HSA-5654544;R-HSA-5654545;R-HSA-2023462;R-HSA-1982066;R-HSA-1982065
R-HSA-2022857,Keratan sulfate degradation,4,24,0.001551992,0.019147188,0.63392559,3,7,4.75E-04,9606,Homo sapiens,LUM;GLB1,,R-HSA-2046239;R-HSA-1630306;R-HSA-1793217
R-HSA-1474244,Extracellular matrix organization,22,328,0.021210554,0.022651113,0.63392559,110,319,0.02166678,9606,Homo sapiens,COL28A1;LUM;LAMA4;MMP2;COL11A2;P3H2;PLOD3;PLG;LTBP3;ITGAE;MMP9;ADAMTS16;ADAMTS5;SCUBE3;COL4A1;COL21A1;CEACAM21;EMILIN2;ITGB8;CD44,,R-HSA-8944265;R-HSA-2002460;R-HSA-8944266;R-HSA-1564179;R-HSA-1604368;R-HSA-216076;R-HSA-1604360;R-HSA-2426676;R-HSA-3788075;R-HSA-1564164;R-HSA-1566979;R-HSA-3791149;R-HSA-2002440;R-HSA-1604359;R-HSA-4084501;R-HSA-1592371;R-HSA-2172433;R-HSA-2537499;R-HSA-1604690;R-HSA-2534248;R-HSA-1592398;R-HSA-1980233;R-HSA-2396029;R-HSA-2752115;R-HSA-1650808;R-HSA-2328129;R-HSA-1604722;R-HSA-1592436;R-HSA-2327886;R-HSA-2396234;R-HSA-2213201;R-HSA-1604712;R-HSA-2213200;R-HSA-2328145;R-HSA-8948219;R-HSA-8948222;R-HSA-2213207;R-HSA-2426450;R-HSA-2168923;R-HSA-2465883;R-HSA-8948232;R-HSA-8948234;R-HSA-8940554;R-HSA-1602458;R-HSA-3791295;R-HSA-2426530;R-HSA-8948224;R-HSA-8948226;R-HSA-8948228;R-HSA-8948230;R-HSA-1602454;R-HSA-4084912;R-HSA-8948231;R-HSA-2327733;R-HSA-2396083;R-HSA-2327738;R-HSA-2395320;R-HSA-1602488;R-HSA-2161282;R-HSA-2022073;R-HSA-1454781;R-HSA-2327695;R-HSA-1981104;R-HSA-2559639;R-HSA-1474213;R-HSA-1454757;R-HSA-4085133;R-HSA-2168982;R-HSA-2485148;R-HSA-1564117;R-HSA-2328033;R-HSA-4539779;R-HSA-1564112;R-HSA-2299620;R-HSA-265422;R-HSA-3827958;R-HSA-1474266;R-HSA-1592278;R-HSA-1564120;R-HSA-1454791;R-HSA-2328048;R-HSA-1592270;R-HSA-1981128;R-HSA-2426355;R-HSA-2327803;R-HSA-1981120;R-HSA-8943959;R-HSA-202723;R-HSA-8944233;R-HSA-2002428;R-HSA-1592314;R-HSA-2395328;R-HSA-1592316;R-HSA-1566962;R-HSA-1604350;R-HSA-3907292;R-HSA-216040;R-HSA-2089971;R-HSA-1454843;R-HSA-1592310;R-HSA-1454822;R-HSA-1592297;R-HSA-2396124;R-HSA-1564143;R-HSA-1564142;R-HSA-216058;R-HSA-1981157;R-HSA-8943987;R-HSA-8944246;R-HSA-2002401
R-HSA-1839124,FGFR1 mutant receptor activation,5,39,0.002521987,0.025300534,0.63392559,18,25,0.001698024,9606,Homo sapiens,FLG;STAT1;TRIM24,,R-HSA-2023455;R-HSA-1839039;R-HSA-1839065;R-HSA-2023451;R-HSA-5654544;R-HSA-5654545;R-HSA-8853325;R-HSA-1839031;R-HSA-1982066;R-HSA-8853322;R-HSA-1839091;R-HSA-1982065;R-HSA-1839080;R-HSA-2023462;R-HSA-1839078;R-HSA-1888198;R-HSA-2023460;R-HSA-2023456
R-HSA-2644605,FBXW7 Mutants and NOTCH1 in Cancer,2,6,3.88E-04,0.02667239,0.63392559,1,1,6.79E-05,9606,Homo sapiens,FBXW7,,R-HSA-2220978
R-HSA-2644607,Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling,2,6,3.88E-04,0.02667239,0.63392559,1,1,6.79E-05,9606,Homo sapiens,FBXW7,,R-HSA-2220978
R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,8,86,0.005561304,0.030309882,0.63392559,5,17,0.001154656,9606,Homo sapiens,MDC1;ATM;MLH1,,R-HSA-6797606;R-HSA-6797712;R-HSA-6797616;R-HSA-6806413;R-HSA-6806392
R-HSA-9031628,NGF-stimulated transcription,6,56,0.003621314,0.032074042,0.63392559,28,37,0.002513075,9606,Homo sapiens,EGR1;VGF;SGK1;JUNB,,R-HSA-9613202;R-HSA-9031624;R-HSA-9613207;R-HSA-9612501;R-HSA-9613210;R-HSA-9031616;R-HSA-9612509;R-HSA-9612483;R-HSA-9621386;R-HSA-9621385;R-HSA-9031575;R-HSA-9612493;R-HSA-9621042;R-HSA-9620723;R-HSA-9620663;R-HSA-9621048;R-HSA-9621054;R-HSA-9612514;R-HSA-9613219;R-HSA-9612516;R-HSA-9621035;R-HSA-9621032;R-HSA-9612073;R-HSA-9616105;R-HSA-9616110;R-HSA-9616367;R-HSA-9612076;R-HSA-9620717
R-HSA-912446,Meiotic recombination,6,57,0.00368598,0.034481145,0.63392559,5,9,6.11E-04,9606,Homo sapiens,HIST1H2AJ;ATM;HIST1H4I;MLH1;HIST1H3C;HIST1H2AB,,R-HSA-912429;R-HSA-912458;R-HSA-912503;R-HSA-912496;R-HSA-1214188
R-HSA-9818030,NFE2L2 regulating tumorigenic genes,3,17,0.001099327,0.035438376,0.63392559,11,12,8.15E-04,9606,Homo sapiens,MAFK;BCL2L1,,R-HSA-9796069;R-HSA-9796084;R-HSA-9796071;R-HSA-9796055;R-HSA-9796064;R-HSA-9796051;R-HSA-9796082;R-HSA-9796044;R-HSA-9796057;R-HSA-9796043;R-HSA-9796059
R-HSA-1059683,Interleukin-6 signaling,3,17,0.001099327,0.035438376,0.63392559,16,20,0.001358419,9606,Homo sapiens,STAT1;JAK2,,R-HSA-1112690;R-HSA-1112755;R-HSA-1112565;R-HSA-1112727;R-HSA-1112602;R-HSA-1112538;R-HSA-1112604;R-HSA-1112510;R-HSA-1067646;R-HSA-1112703;R-HSA-1112514;R-HSA-1067651;R-HSA-1112708;R-HSA-1067688;R-HSA-1067659;R-HSA-1112587
R-HSA-8948216,Collagen chain trimerization,5,44,0.002845318,0.039206009,0.63392559,5,28,0.001901786,9606,Homo sapiens,COL28A1;COL4A1;COL11A2;COL21A1,,R-HSA-8944265;R-HSA-8944233;R-HSA-8944266;R-HSA-8944246;R-HSA-2002401
R-HSA-1500620,Meiosis,8,91,0.005884635,0.04000155,0.63392559,11,15,0.001018814,9606,Homo sapiens,HIST1H2AJ;POT1;ATM;HIST1H4I;MLH1;SMC3;HIST1H3C;HIST1H2AB,,R-HSA-912429;R-HSA-912505;R-HSA-912408;R-HSA-912458;R-HSA-912389;R-HSA-912503;R-HSA-912470;R-HSA-912496;R-HSA-1214188;R-HSA-912467;R-HSA-912450
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,7,76,0.00491464,0.042985881,0.63392559,25,51,0.003463968,9606,Homo sapiens,COL28A1;COL4A1;COL11A2;P3H2;COL21A1;PLOD3,,R-HSA-8948232;R-HSA-8944265;R-HSA-8948234;R-HSA-2002460;R-HSA-8944266;R-HSA-8948224;R-HSA-8948226;R-HSA-8948228;R-HSA-8948230;R-HSA-8948231;R-HSA-1981128;R-HSA-2002440;R-HSA-1980233;R-HSA-1981120;R-HSA-1650808;R-HSA-8944233;R-HSA-2002428;R-HSA-2022073;R-HSA-2089971;R-HSA-1981104;R-HSA-8948219;R-HSA-8948222;R-HSA-1981157;R-HSA-8944246;R-HSA-2002401
R-HSA-4551638,SUMOylation of chromatin organization proteins,6,62,0.004009312,0.048245648,0.63392559,5,15,0.001018814,9606,Homo sapiens,HDAC4;NUP214;SATB2;HIST1H4I;NUPL2,,R-HSA-4570485;R-HSA-4570496;R-HSA-4615987;R-HSA-4615872;R-HSA-4615900
R-HSA-9670095,Inhibition of DNA recombination at telomere,5,47,0.003039317,0.049405906,0.63392559,4,4,2.72E-04,9606,Homo sapiens,HIST1H2AJ;RAD54L;POT1;HIST1H4I;HIST1H2AB,,R-HSA-9670114;R-HSA-9670149;R-HSA-9670101;R-HSA-9007926
R-HSA-171306,Packaging Of Telomere Ends,4,33,0.002133989,0.051380865,0.63392559,2,2,1.36E-04,9606,Homo sapiens,HIST1H2AJ;POT1;HIST1H4I;HIST1H2AB,,R-HSA-181450;R-HSA-176700
R-HSA-73728,RNA Polymerase I Promoter Opening,4,33,0.002133989,0.051380865,0.63392559,1,2,1.36E-04,9606,Homo sapiens,HIST1H2AJ;HIST1H4I;HIST1H3C;HIST1H2AB,,R-HSA-73718
