Mean CV Accuracy	Test Accuracy	F1 Score	AUC Accuracy	Combination
0.6032653061224489	0.6129032258064516	0.0	0.4736842105263158	filtered_SNP_Data
0.6073469387755102	0.6129032258064516	0.0	0.4276315789473684	filtered_CNA_Data
0.7890909090909091	0.6153846153846154	0.6153846153846154	0.775	filtered_mRNA_Data
0.6890821256038647	0.7368421052631579	0.6511627906976745	0.7815656565656566	ProcessedClinicalData
0.6327272727272728	0.5384615384615384	0.4	0.825	FinalCibersortData
0.6032653061224489	0.6129032258064516	0.0	0.5032894736842105	filtered_SNP_Data + filtered_CNA_Data
0.7727272727272727	0.6923076923076923	0.6	0.880952380952381	filtered_SNP_Data + filtered_mRNA_Data
0.6883091787439614	0.6491228070175439	0.37500000000000006	0.7557544757033248	filtered_SNP_Data + ProcessedClinicalData
0.6327272727272727	0.5384615384615384	0.5	0.5952380952380952	filtered_SNP_Data + FinalCibersortData
0.7309090909090908	0.6153846153846154	0.5454545454545454	0.6428571428571428	filtered_CNA_Data + filtered_mRNA_Data
0.6841545893719806	0.7017543859649122	0.5405405405405405	0.708994708994709	filtered_CNA_Data + ProcessedClinicalData
0.6018181818181818	0.6153846153846154	0.5454545454545454	0.6428571428571428	filtered_CNA_Data + FinalCibersortData
0.7511111111111111	0.8461538461538461	0.8333333333333334	0.9523809523809524	filtered_mRNA_Data + ProcessedClinicalData
0.7527272727272727	0.5384615384615384	0.5	0.675	filtered_mRNA_Data + FinalCibersortData
0.6888888888888889	0.7692307692307693	0.7272727272727272	0.9285714285714286	ProcessedClinicalData + FinalCibersortData
0.7363636363636363	0.6153846153846154	0.6153846153846153	0.7380952380952381	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data
0.6795169082125604	0.6666666666666666	0.3870967741935483	0.7659846547314577	filtered_SNP_Data + filtered_CNA_Data + ProcessedClinicalData
0.6545454545454545	0.5384615384615384	0.5714285714285714	0.5476190476190476	filtered_SNP_Data + filtered_CNA_Data + FinalCibersortData
0.731111111111111	0.6923076923076923	0.6	0.6666666666666666	filtered_SNP_Data + filtered_mRNA_Data + ProcessedClinicalData
0.7545454545454545	0.6923076923076923	0.6	0.8095238095238095	filtered_SNP_Data + filtered_mRNA_Data + FinalCibersortData
0.7066666666666668	0.6153846153846154	0.6153846153846153	0.7857142857142857	filtered_SNP_Data + ProcessedClinicalData + FinalCibersortData
0.691111111111111	0.8461538461538461	0.8000000000000002	0.875	filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData
0.7345454545454546	0.6923076923076923	0.6666666666666666	0.7142857142857143	filtered_CNA_Data + filtered_mRNA_Data + FinalCibersortData
0.6688888888888889	0.8461538461538461	0.8000000000000002	0.875	filtered_CNA_Data + ProcessedClinicalData + FinalCibersortData
0.7733333333333333	0.8461538461538461	0.8333333333333334	0.9761904761904763	filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
0.7666666666666667	0.7692307692307693	0.7272727272727272	0.7619047619047619	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData
0.7127272727272729	0.5384615384615384	0.5	0.5	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data + FinalCibersortData
0.7488888888888888	0.6923076923076923	0.7142857142857143	0.6904761904761905	filtered_SNP_Data + filtered_CNA_Data + ProcessedClinicalData + FinalCibersortData
0.7511111111111111	0.6923076923076923	0.6	0.7857142857142857	filtered_SNP_Data + filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
0.6888888888888889	0.8461538461538461	0.8000000000000002	0.875	filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
0.7666666666666667	0.6153846153846154	0.6153846153846153	0.6666666666666667	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
