Mean CV Accuracy	Test Accuracy	F1 Score	AUC Accuracy	Combination
0.8500408163265305	0.8387096774193549	0.7916666666666666	0.8859649122807018	filtered_SNP_Data
0.6236734693877551	0.6290322580645161	0.07999999999999999	0.5937499999999999	filtered_CNA_Data
0.7709090909090909	0.6153846153846154	0.6153846153846154	0.675	filtered_mRNA_Data
0.6581642512077295	0.7017543859649122	0.6046511627906976	0.755050505050505	ProcessedClinicalData
0.749090909090909	0.5384615384615384	0.4	0.3	FinalCibersortData
0.8460408163265306	0.8225806451612904	0.7755102040816326	0.8804824561403509	filtered_SNP_Data + filtered_CNA_Data
0.8072727272727273	0.8461538461538461	0.8333333333333333	0.9285714285714286	filtered_SNP_Data + filtered_mRNA_Data
0.8728502415458937	0.7894736842105263	0.7272727272727272	0.8516624040920716	filtered_SNP_Data + ProcessedClinicalData
0.7472727272727273	0.7692307692307693	0.7692307692307692	0.880952380952381	filtered_SNP_Data + FinalCibersortData
0.7145454545454545	0.6923076923076923	0.6	0.7380952380952381	filtered_CNA_Data + filtered_mRNA_Data
0.741256038647343	0.7368421052631579	0.6153846153846153	0.7367724867724867	filtered_CNA_Data + ProcessedClinicalData
0.7163636363636364	0.46153846153846156	0.36363636363636365	0.6190476190476191	filtered_CNA_Data + FinalCibersortData
0.7266666666666668	0.7692307692307693	0.7272727272727272	0.9523809523809524	filtered_mRNA_Data + ProcessedClinicalData
0.7872727272727273	0.6153846153846154	0.6666666666666666	0.725	filtered_mRNA_Data + FinalCibersortData
0.6688888888888889	0.6923076923076923	0.5	0.9047619047619049	ProcessedClinicalData + FinalCibersortData
0.8054545454545454	0.5384615384615384	0.25	0.6190476190476191	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data
0.8684057971014493	0.8070175438596491	0.7555555555555555	0.8542199488491049	filtered_SNP_Data + filtered_CNA_Data + ProcessedClinicalData
0.7454545454545455	0.8461538461538461	0.8333333333333333	0.8809523809523809	filtered_SNP_Data + filtered_CNA_Data + FinalCibersortData
0.8288888888888888	0.9230769230769231	0.9090909090909091	0.9761904761904763	filtered_SNP_Data + filtered_mRNA_Data + ProcessedClinicalData
0.7672727272727272	0.8461538461538461	0.8333333333333333	0.8809523809523809	filtered_SNP_Data + filtered_mRNA_Data + FinalCibersortData
0.8111111111111111	0.9230769230769231	0.9090909090909091	0.9761904761904763	filtered_SNP_Data + ProcessedClinicalData + FinalCibersortData
0.6466666666666667	0.8461538461538461	0.8333333333333333	0.875	filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData
0.7309090909090908	0.6923076923076923	0.6666666666666666	0.761904761904762	filtered_CNA_Data + filtered_mRNA_Data + FinalCibersortData
0.6666666666666666	0.7692307692307693	0.6666666666666665	0.875	filtered_CNA_Data + ProcessedClinicalData + FinalCibersortData
0.7244444444444446	0.7692307692307693	0.6666666666666666	0.9761904761904763	filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
0.8511111111111112	0.8461538461538461	0.8333333333333334	0.9523809523809523	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData
0.7854545454545455	0.5384615384615384	0.25	0.6428571428571429	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data + FinalCibersortData
0.8111111111111111	0.8461538461538461	0.8333333333333334	0.9761904761904763	filtered_SNP_Data + filtered_CNA_Data + ProcessedClinicalData + FinalCibersortData
0.8288888888888888	0.9230769230769231	0.9090909090909091	0.9761904761904763	filtered_SNP_Data + filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
0.6866666666666665	0.8461538461538461	0.8333333333333333	0.925	filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
0.8288888888888888	0.8461538461538461	0.8333333333333334	0.9761904761904763	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
